id,id_long,WIGOS,short_name,location,radar_type,postchange_start,prechange_end,site_lat,site_lon,ge_ground_altitude,site_alt,status,band,doppler,dp,eth_dhz_threshold,beamwidth,state,notes
47,047_1,0-20000-0-06821,Rhmptn,Rockhampton,WF100C,15/12/1998,31/08/2014,-23.383,150.467,10,14,OK,C,,,18,1.6,QLD,
48,048_1,0-20000-0-94637,Kgrlie,Kalgoorlie,WF100C,12/09/2001,22/04/2014,-30.7843,121.4549,369,389.975,OK,C,,,18,1.6,WA,
48,048_2,0-20000-0-94637,Kgrlie,Kalgoorlie,Wur2502C-14,23/04/2014,-,-30.7843,121.4549,369,389.975,OK,C,Yes,,0,1,WA,
49,049_1,0-20000-0-94862,NEVic,Yarrawonga,WF100-6C,25/06/2002,19/11/2006,-36.0297,146.0228,129,146.96,OK,C,,,18,1,VIC,
49,049_1,0-20000-0-94862,NEVic,Yarrawonga,WSR81C-14,20/11/2006,-,-36.0297,146.0228,129,146.96,OK,C,Yes,,0,1,VIC,
50,050_1,,Marburg,Brisbane (Marburg),WSR74S,5/12/1993,26/04/2023,-27.6063,152.5401,362,371.06,OK,S,,,18,1.9,QLD,
50,050_2,,Marburg,Brisbane (Marburg),Meteor1700S,30/10/2023,-,-27.6063,152.5401,362,386.4443,OK,S,Yes,Yes,0,1,QLD,
51,051_1,0-20000-0-94866,MelbnAP,Melbourne Airport,WF100C,20/09/1993,17/05/2018,-37.6656,144.8312,113,123,OK,C,,,18,1.7,VIC,
52,052_1,,WTakone,N.W. Tasmania (West Takone),WSR81C,5/06/1998,4/04/2016,-41.1791,145.58,578,600.975,OK,C,,,18,1.5,TAS,
52,052_2,,WTakone,N.W. Tasmania (West Takone),Wur2502C-14,5/04/2016,-,-41.1791,145.58,578,600.975,OK,C,Yes,,0,1,TAS,
53,053_1,0-20000-0-95527,Moree,Moree,WF100C-8,7/01/1997,-,-29.4903,149.8462,220,221.524,OK,C,,,18,1.7,NSW,
